AgeyrBP,Age Err,VEI,Volume (cu km),Location
314000,13000,,,Older Puyehue remnants (314 - 96 ka)
245000,13000,,,Older Puyehue remnants (314 - 96 ka)
224000,51000,,,Older Puyehue remnants (314 - 96 ka)
193000,26000,,,Older Puyehue remnants (314 - 96 ka)
173000,15000,,,Cordon Caulle erosional remnants (173 - 73 ka)
167400,9300,,,Cordon Caulle erosional remnants (173 - 73 ka)
158100,19400,,,Older Puyehue remnants (314 - 96 ka)
133200,1800,,,Cordon Caulle erosional remnants (173 - 73 ka)
131300,6100,,,Older Puyehue remnants (314 - 96 ka)
128400,10900,,,Cordon Caulle erosional remnants (173 - 73 ka)
124100,2200,,,Older Puyehue remnants (314 - 96 ka)
111000,22000,,,Older Puyehue remnants (314 - 96 ka)
106300,4100,,,Older Puyehue remnants (314 - 96 ka)
106000,3000,,,Cordon Caulle erosional remnants (173 - 73 ka)
98000,19000,,,Cordon Caulle erosional remnants (173 - 73 ka)
96000,12000,,,Cordon Caulle erosional remnants (173 - 73 ka)
95600,26900,,,Older Puyehue remnants (314 - 96 ka)
83700,3300,,,Cordon Caulle erosional remnants (173 - 73 ka)
78900,3100,,,Cordon Caulle erosional remnants (173 - 73 ka)
72800,14300,,,Cordon Caulle erosional remnants (173 - 73 ka)
69300,1600,,,Puyehue Volcano (69-1.1ka)
65500,4500,,,Puyehue Volcano (69-1.1ka)
62900,4200,,,Puyehue Volcano (69-1.1ka)
54000,11000,,,Puyehue Volcano (69-1.1ka)
51400,14500,,,Puyehue Volcano (69-1.1ka)
44500,1500,,,Puyehue Volcano (69-1.1ka)
43000,6600,,,Puyehue Volcano (69-1.1ka)
34400,700,,,Puyehue Volcano (69-1.1ka)
32200,2200,,,Late Pleistocene Cordon Caulle (54-17 ka)
31600,5300,,,Puyehue Volcano (69-1.1ka)
18700,1100,,,Puyehue Volcano (69-1.1ka)
16500,3800,,,Late Pleistocene Cordon Caulle (54-17 ka)
14900,2900,,,Puyehue Volcano (69-1.1ka)
12300,1900,,,Puyehue Volcano (69-1.1ka)
12000,2800,,,Puyehue Volcano (69-1.1ka)
11500,1100,,,Puyehue Volcano (69-1.1ka)
10470,75,,,Puyehue
7170,65,,,Puyehue
7030,150,5,,"Puyehue, PU-2 tephra"
6875,35,,,Puyehue
6640,200,,,
6410,,,,
6400,900,,,Puyehue
6192.5,98.75,,,Pyroclastic 
6180,200,,,
5200,2400,,,Puyehue
3440.5,84.75,,,Pyroclastic 
3440,150,,,
2940,500,,,
2910,75,,,Antillanca
2441,138.5,,,Pyroclastic 
2440,300,,,
2431.5,123.75,,,Pyroclastic 
2429,135.5,,,Pyroclastic 
2320,40,,,Puyehue?
1920,45,,,Puyehue?
1870,75,5,,"Puyehue, MH tephra"
1842.5,108.25,,,Pyroclastic 
1840,200,,,
1810,300,,,Puyehue?
1530,30,,,Paleosol
1471.5,67.25,,,Pyroclastic 
1450,100,,,
1401.5,57.75,,,Pyroclastic 
1085,34,,,Puyehue
810,100,,,
809.5,59.75,,,Pyroclastic 
730,30,,,Cordón Caulle
560,50,,,Cordón Caulle
218,109.5,,,Pyroclastic 
191,,2,,Cordón Caulle
141,71,,,Pyroclastic (Lara et al 2006)
57,,2,,Cordón Caulle
45,,2,,Cordón Caulle
35.9,,2,,Cordón Caulle
31,,2,,Cordón Caulle
28.1,,3,,Cordón Caulle-Cordillera Nevada
21,,2,,Cordón Caulle
15.8,,2,,Cordón Caulle
-10.4,,3,,Cordón Caulle
-40,,1,,Cordón Caulle
-61.5,,5,,"Cordón Caulle, N of the 1960 eruption fissure"
