AgeyrBP,AgeErr,VEI,Volume (cu km),Location
541800,1315900,,,North Sister
500800,116900,,40,North Sister
373700,6000,,,Peripheral
311300,106200,,,North Sister
278900,5500,,,Peripheral
181800,28700,,36,North Sister
155100,70000,,,North Sister
153400,27100,,0.8,Little Brother
148900,4800,,,Peripheral
147900,4300,,,Peripheral
142200,73700,,,North Sister
119300,5600,,,North Sister
114200,58300,,,North Sister
98600,38200,,,North Sister
89500,75000,,,Little Brother
83100,24500,,,North Sister
75300,31000,,0.4,Matthieu Lakes Fissure
70500,3200,,,North Sister
67000,4100,,,Middle Sister
55000,5300,,,North Sister
50500,9500,,,South Sister
48400,3600,,,Peripheral
47600,23700,,<0.01,Little Brother
47400,8200,,,South Sister
47200,5800,,,Peripheral
46200,5600,,,North Sister
45200,15000,,,South Sister
37800,1800,,,Middle Sister
36900,2200,,,South Sister
35800,2000,,,South Sister
35000,2700,,,South Sister
34800,1500,,,South Sister
33600,1200,,,South Sister
32800,1500,,,South Sister
32300,1800,,,South Sister
31900,700,,,South Sister
31600,2000,,,South Sister
31400,8700,,,South Sister
30700,2600,,,South Sister
30400,1300,,,South Sister
28700,800,,,South Sister
28500,2100,,,South Sister
27700,1000,,,South Sister
27300,2600,,,South Sister
27100,1100,,,South Sister
27000,3200,,,South Sister
26700,1700,,,South Sister
26000,2100,,,South Sister
25400,1300,,,South Sister
25300,1400,,,South Sister
25200,800,,,South Sister
24000,5400,,,South Sister
23700,1300,,,South Sister
23500,1100,,,South Sister
23300,6300,,,South Sister
23000,6800,,,Middle Sister
22300,1600,,,South Sister
21400,5500,,,Middle Sister
19500,11600,,,Matthieu Lakes Fissure
19100,3700,,,Middle Sister
17900,2200,,,Middle Sister
16800,15300,,,Middle Sister
16400,11700,,,Middle Sister
16100,10400,,,Middle Sister
14400,2700,,,South Sister
14300,11500,,,Matthieu Lakes Fissure
11200,10300,,,Matthieu Lakes Fissure
9300,2700,2,,WNW of North Sister (Sims Butte)
2750,0,2,,North of North Sister (Yapoah Cone)
2300,0,,,SW flank of South Sister (Rock Mesa)
2000,0,,,N & S flanks of South Sister (Devils Hill)
